,사업장,연도,광역지역,종사자규모,에너지원,에너지구분,표준산업코드,표준산업코드명,소비(배출)량
295,3A641EB359770BAFAB5A9960F4108465ABBCB5F1,2015,제주,5인 미만,도시가스(LPG),도시가스(LPG),15211,구두류 제조업,-
296,E28ABE6AB7DE0382102AE8F87CE7BB18C03488E7,2015,제주,20인 ~ 49인,경유,경유,10792,차류 가공업,-
297,9434FCD475A8A0FD55AF4CD9D3E9F982D3218366,2015,제주,10인 ~ 19인,전력,전력,10611,곡물 도정업,-
298,D306F9FB9955CF97F303072D8ED6880AF19ECD01,2015,제주,10인 ~ 19인,경유,경유,23322,레미콘 제조업,-
299,ABB9675D2EE7E559D4438CEC970BC48947409873,2015,제주,5인 미만,전력,전력,11201,얼음 제조업,-
300,11BB90E4C7611F1A4A8AEFAF99777702810EA2B4,2015,제주,10인 ~ 19인,경유,경유,17210,골판지 및 골판지상자 제조업,-
301,7E6A73AB35A381BD460E3466CDBA574267103926,2015,제주,20인 ~ 49인,도시가스(LPG),도시가스(LPG),23919,기타 석제품 제조업,-
302,8A805A854ACDFD109236F3367D0C8D3583AE127C,2015,제주,5인 미만,전력,전력,10309,기타 과실·채소 가공 및 저장처리업,-
303,A05FCE08C798C376DFF5F8264C444BE6A5EDD252,2015,제주,5인 미만,전력,전력,10129,기타 육류 가공 및 저장처리업,-
304,4EB22935DDFE7CADB999AF7FC0FD0DA30BDD93C3,2015,제주,5인 ~ 9인,경유,경유,10309,기타 과실·채소 가공 및 저장처리업,-
305,85CD9D7472F4AE554A96E30DCB32DC2E290AC872,2015,제주,5인 미만,전력,전력,23919,기타 석제품 제조업,-
306,4A2FEBEFA3E606D37E8306D9B064B470A479A4AC,2015,제주,5인 미만,경유,경유,13224,천막 및 기타 캔버스 제품 제조업,-
307,6905926BAF8B9BCC7D1D5FCAB80F211C95377F3F,2015,제주,5인 미만,등유(구:실내등유),등유(구:실내등유),20201,"질소, 인산 및 칼리질 비료 제조업",-
308,B4A0F62AB6320B5FBA451BAD322ED66866A25171,2015,제주,20인 ~ 49인,전력,전력,10730,"면류, 마카로니 및 유사식품 제조업",-
309,D807A0FF495E22A28BE72C5404B98903BD04F854,2015,제주,10인 ~ 19인,전력,전력,23326,콘크리트관 및 기타 구조용 콘크리트제품 제조업,-
310,3E15B677177827566E8B21CBC3CC1B5F5D0877B2,2015,제주,5인 ~ 9인,전력,전력,21102,생물학적 제제 제조업,-
311,2C2972238C2C1FDD94AE48F4EA1BDBA2A65220AF,2015,제주,20인 ~ 49인,경유,경유,10800,동물용 사료 및 조제식품 제조업,-
312,D568F758CC4DFC204A8BC2BD428ECBB8D818EAB8,2015,제주,5인 미만,도시가스(LPG),도시가스(LPG),10402,식물성 유지 제조업,-
313,7C5F311827D40CFFD71B35EC74D5D41E8541BD93,2015,제주,20인 ~ 49인,경유,경유,10121,가금류 가공 및 저장 처리업,-
314,645D6F81969E442382EB85F54A6DD8AF258368E2,2015,제주,10인 ~ 19인,전력,전력,10213,수산동물 냉동품 제조업,-
315,60F9CA9932D04B74B6E7F3B9194124AE7D3F09AF,2015,제주,5인 ~ 9인,전력,전력,32021,주방용 및 음식점용 목재가구 제조업,-
316,A9FF90935F7222B0C0A08631A374F33AC8215416,2015,제주,20인 ~ 49인,전력,전력,10301,과실 및 채소 절임식품 제조업,-
317,5497187A434C509E33C41038048F577FA7BCE999,2015,제주,10인 ~ 19인,전력,전력,10129,기타 육류 가공 및 저장처리업,-
318,6EC69E42D21AC7A332173C1539AAD82CFF6AB9DF,2015,제주,10인 ~ 19인,경유,경유,23911,건설용 석제품 제조업,-
319,FA4BD2068C9316D087F7D0D30A642623C5576021,2015,제주,5인 미만,전력,전력,29171,산업용 냉장 및 냉동 장비 제조업,-
320,B38906BE0271259618C9F252653F7B2771236C59,2015,제주,5인 미만,전력,전력,14130,한복 제조업,-
321,80D237FA1DC7B34B2D6B17F0B74FA925F1C6178D,2015,제주,10인 ~ 19인,전력,전력,23911,건설용 석제품 제조업,-
322,61E4C7480C44F30F728E00EB6E923A06B175C6E6,2015,제주,5인 ~ 9인,전력,전력,29210,농업 및 임업용 기계 제조업,-
323,1B61E16030AA2FC994956DFC761184DADDCD9915,2015,제주,5인 ~ 9인,전력,전력,23991,아스콘 제조업,-
324,2565053F69C2087F1085D8C6A736626009A26601,2015,제주,5인 ~ 9인,경유,경유,22223,플라스틱 창호 제조업,-
325,753CFEE103E99E94EB6A57C2C6B8B79762B16F1B,2015,제주,5인 ~ 9인,프로판,프로판,10309,기타 과실·채소 가공 및 저장처리업,-
326,AB2D0CD19D80BE3EA22B1C40615626DF6442060C,2015,제주,50인 ~ 99인,경유,경유,10121,가금류 가공 및 저장 처리업,-
327,1263A4CAE47C7850E81A9BAFB76CB7D4614D7E84,2015,제주,5인 ~ 9인,전력,전력,11201,얼음 제조업,-
328,774BCE591BA89696875FF9357D13FB73A61146FF,2015,제주,5인 ~ 9인,경유,경유,28122,배전반 및 전기자동제어반 제조업,-
329,C1F45CD8B8EB5527E59C53EB0F420297F8E47522,2015,제주,5인 미만,전력,전력,33910,간판 및 광고물 제조업,-
330,7D75C26C44C82A036DF6F16AEA194C8B782C7E43,2015,제주,5인 미만,경유,경유,11119,기타 발효주 제조업,-
331,C6E5DF7389C96937ADAA3DA183CCAE6A7B190E6D,2015,제주,10인 ~ 19인,전력,전력,23911,건설용 석제품 제조업,-
332,8F498F0F6D992F62C0B95D50494DA3015A77E52D,2015,제주,5인 ~ 9인,전력,전력,22223,플라스틱 창호 제조업,-
333,3D193239484515A3A27AA59AEA1362687A559F04,2015,제주,10인 ~ 19인,전력,전력,10301,과실 및 채소 절임식품 제조업,-
